obj0000,1,2,93,89,97,130
obj0000,2,3,97,130,100,163
obj0000,1,0,93,89,96,50
obj0000,5,6,126,17,110,58
obj0000,6,7,110,58,106,102
obj0000,7,8,106,102,115,138
obj0000,8,9,115,138,115,175
obj0000,5,6,140,79,133,141
obj0000,5,4,140,79,143,29
obj0001,9,10,153,48,138,79
obj0001,10,11,138,79,136,113
obj0001,11,12,136,113,145,151
obj0001,8,9,95,103,78,132
obj0001,9,10,78,132,70,153
obj0001,8,7,95,103,106,67
obj0001,7,6,106,67,107,26
obj0001,2,3,79,90,80,137
obj0001,3,4,80,137,92,165
obj0001,2,1,79,90,95,38
obj0002,6,7,107,77,91,119
obj0002,7,8,91,119,70,144
obj0002,8,9,70,144,63,158
obj0002,6,5,107,77,114,35
obj0002,1,2,71,129,67,164
obj0002,1,0,71,129,72,85
obj0002,12,13,138,21,137,37
obj0002,13,14,137,37,115,71
obj0002,12,11,138,21,142,7
obj0003,0,1,98,102,102,140
obj0003,1,2,102,140,104,174
obj0003,6,7,119,65,117,98
obj0003,7,8,117,98,119,126
obj0003,6,5,119,65,123,38
obj0003,7,8,175,136,174,148
obj0003,7,6,175,136,177,110
obj0003,6,5,177,110,180,86
obj0003,5,4,180,86,177,49
obj0003,5,6,30,122,28,154
obj0003,5,4,30,122,25,77
obj0003,12,13,92,48,95,72
obj0003,13,14,95,72,94,98
obj0003,12,11,92,48,86,16
obj0003,11,10,86,16,87,4
obj0003,7,8,130,136,130,156
obj0003,7,6,130,136,133,104
obj0003,6,5,133,104,136,71
obj0003,5,4,136,71,131,34
obj0003,5,6,153,130,150,166
obj0003,5,4,153,130,147,78
obj0004,1,2,117,64,137,117
obj0004,2,3,137,117,140,150
obj0004,3,4,140,150,121,174
obj0004,1,0,117,64,95,24
obj0004,6,7,136,47,130,87
obj0004,7,8,130,87,133,118
obj0004,8,9,133,118,139,141
obj0004,9,10,139,141,142,161
obj0004,10,11,142,161,138,172
obj0004,11,12,138,172,136,174
obj0004,6,7,104,147,89,198
obj0004,6,5,104,147,115,44
obj0005,0,1,98,135,120,181
obj0005,0,1,124,136,144,177
obj0005,2,3,108,51,110,122
obj0005,3,4,110,122,120,173
obj0005,5,6,112,105,126,142
obj0005,6,7,126,142,133,168
obj0005,5,4,112,105,99,60
obj0005,4,3,99,60,102,25
obj0005,11,12,72,76,59,98
obj0005,12,13,59,98,64,116
obj0005,13,14,64,116,74,127
obj0005,14,15,74,127,86,134
obj0005,11,10,72,76,80,42
obj0005,10,9,80,42,88,12
obj0005,7,8,58,74,57,133
obj0005,8,9,57,133,63,168
obj0005,7,6,58,74,69,32
obj0006,7,8,134,133,131,161
obj0006,8,9,131,161,128,171
obj0006,9,10,128,171,127,173
obj0006,7,6,134,133,134,98
obj0006,6,5,134,98,126,58
obj0006,1,2,107,143,106,174
obj0006,2,3,106,174,100,183
obj0006,1,0,107,143,95,110
obj0006,12,13,125,51,118,89
obj0006,13,14,118,89,123,113
obj0006,12,11,125,51,133,13
obj0006,9,10,44,139,44,150
obj0006,9,8,44,139,48,121
obj0006,8,7,48,121,55,91
obj0006,7,6,55,91,57,55
obj0006,6,5,57,55,55,31
obj0007,1,2,113,76,109,109
obj0007,2,3,109,109,114,151
obj0007,1,0,113,76,115,33
obj0007,2,3,118,126,122,161
obj0007,2,1,118,126,121,91
obj0007,1,0,121,91,124,48
obj0007,6,7,118,49,117,92
obj0007,7,8,117,92,127,129
obj0007,8,9,127,129,127,161
obj0007,9,10,127,161,115,176
obj0007,6,5,118,49,113,15
obj0007,7,8,164,153,166,181
obj0007,7,6,164,153,168,106
obj0007,13,14,128,62,121,88
obj0007,14,15,121,88,117,111
obj0007,13,12,128,62,118,26
obj0007,12,11,118,26,108,5
obj0008,0,1,85,144,91,159
obj0008,1,2,91,159,97,166
obj0008,11,12,91,84,102,108
obj0008,12,13,102,108,104,126
obj0008,13,14,104,126,98,139
obj0008,14,15,98,139,88,143
obj0008,11,10,91,84,93,55
obj0008,10,9,93,55,100,20
obj0009,0,1,102,174,113,188
obj0009,4,5,90,68,100,116
obj0009,5,6,100,116,99,153
obj0009,6,7,99,153,95,187
obj0009,4,3,90,68,96,10
obj0009,12,13,86,127,88,150
obj0009,13,14,88,150,91,166
obj0009,14,15,91,166,101,177
obj0009,12,11,86,127,89,86
obj0009,11,10,89,86,95,52
obj0009,10,9,95,52,108,15
obj0009,4,5,51,163,61,195
obj0009,4,3,51,163,45,95
